category_list,market,funding_total_usd,status,country_code,funding_rounds,founded_at,first_funding_at,last_funding_at,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,product_crowdfunding,market_missing,category_missing,country_missing,Startup_age,days_to_funding,funding_duration_days,funding_per_round,single_funding_event,funding_stage_reached,has_institutional_vc
|Software|Web Hosting|, Software ,100000000.0,operating,CHN,2.0,2009-10-16,2012-12-01,2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,1142.0,304.0,50000000.0,0,0,0
|Biotechnology|, Biotechnology ,15034750.0,operating,USA,6.0,1998-01-01,2010-12-28,2014-09-18,0.0,0.0,0.0,2506250.0,0.0,0.0,0.0,0,0,0,28.0,4744.0,1360.0,2505791.6666666665,0,2,1
|Web Tools|Android|iPhone|Web Development|Internet|Mobile|Sales and Marketing|Apps|Software|, Software ,250000.0,operating,ISR,1.0,2010-01-01,2013-10-15,2013-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,1383.0,0.0,250000.0,1,1,0
|Software|, Software ,1610541.0,operating,CHN,2.0,2005-09-01,2010-05-01,2010-10-01,0.0,1610541.0,0.0,0.0,0.0,0.0,0.0,0,0,0,21.0,1703.0,153.0,805270.5,0,0,0
|Mobile|, Mobile ,615000.0,operating,SGP,1.0,2009-02-01,2011-01-11,2011-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,709.0,0.0,615000.0,1,2,1
|Search|Biotechnology|, Biotechnology ,111949900.0,operating,USA,6.0,2006-04-01,2007-05-01,2014-07-29,0.0,0.0,0.0,0.0,0.0,1400000.0,0.0,0,0,0,20.0,395.0,2646.0,18658316.666666668,0,3,1
|Blogging Platforms|Software|, Blogging Platforms ,50000.0,operating,CAN,1.0,2011-06-01,2011-08-15,2011-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,75.0,0.0,50000.0,1,1,0
|Sports|, Sports ,,operating,USA,1.0,2014-07-15,2014-10-23,2014-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,12.0,100.0,0.0,,1,0,0
|News|, News ,1209701.0,operating,SWE,2.0,,2008-09-01,2009-01-01,0.0,185451.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,122.0,604850.5,0,0,1
|Real Estate|, Real Estate ,,operating,missing,2.0,,2010-05-01,2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,,,549.0,,0,0,0
|Finance|, Finance ,3452941.0,closed,USA,3.0,,2010-10-25,2011-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,422.0,1150980.3333333333,0,0,1
|Hardware + Software|, Hardware + Software ,600000.0,operating,USA,1.0,,2012-11-05,2012-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,600000.0,1,1,0
missing,missing,500000.0,operating,USA,1.0,2007-01-01,2009-07-23,2009-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,19.0,934.0,0.0,500000.0,1,3,1
|Non Profit|Social Fundraising|, Social Fundraising ,400000.0,operating,USA,1.0,2007-08-01,2014-05-01,2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,19.0,2465.0,0.0,400000.0,1,1,0
missing,missing,,,FRA,1.0,2006-01-01,2006-08-01,2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,20.0,212.0,0.0,,1,0,0
|Clean Technology|, Clean Technology ,16000000.0,operating,USA,1.0,2010-01-01,2010-08-16,2010-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,227.0,0.0,16000000.0,1,2,1
|Software|, Software ,50000.0,closed,USA,1.0,2010-01-01,2011-05-24,2011-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,508.0,0.0,50000.0,1,1,0
|Textbooks|Software|, Software ,,operating,ESP,1.0,2010-08-07,2010-10-20,2010-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,74.0,0.0,,1,0,0
|Services|, Services ,1856561.0,operating,CHN,2.0,,2013-12-27,2014-07-14,0.0,0.0,0.0,0.0,164473.0,0.0,0.0,0,0,0,,,199.0,928280.5,0,2,1
|Systems|Education|, Education ,4000000.0,operating,IND,1.0,2001-01-01,2007-11-06,2007-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,25.0,2500.0,0.0,4000000.0,1,0,1
|Software|, Software ,200000.0,operating,USA,1.0,2012-01-01,2012-09-01,2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,244.0,0.0,200000.0,1,1,0
|DIY|Electronics|Software|, Software ,25000.0,closed,missing,1.0,,2010-01-26,2010-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,,,0.0,25000.0,1,1,0
|Software|, Software ,2000000.0,operating,CHN,1.0,2004-01-01,2004-12-01,2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,22.0,335.0,0.0,2000000.0,1,0,1
|Tourism|Software|, Tourism ,,operating,USA,1.0,2011-01-01,2012-11-06,2012-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,675.0,0.0,,1,0,0
|Finance|Marketplaces|E-Commerce|, E-Commerce ,118000.0,closed,USA,1.0,2012-07-25,2012-05-17,2012-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,0.0,0.0,118000.0,1,1,0
|Presentations|Software|, Software ,250000.0,acquired,missing,2.0,,2008-01-01,2008-03-01,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0,0,1,,,60.0,125000.0,0,0,0
|Cloud Computing|Web Development|Databases|Software|, Software ,5844811.0,operating,USA,1.0,2008-01-01,2013-10-28,2013-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.0,2127.0,0.0,5844811.0,1,0,1
missing,missing,,acquired,missing,1.0,,2007-03-15,2007-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,0.0,,1,0,0
|Outsourcing|Advertising|, Outsourcing ,,operating,USA,1.0,2006-09-01,2008-03-31,2008-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.0,577.0,0.0,,1,0,0
missing,missing,1000000.0,operating,ISR,1.0,2009-01-01,2013-11-01,2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,17.0,1765.0,0.0,1000000.0,1,1,0
|Mobile Commerce|E-Commerce|Payments|Software|, Software ,3000000.0,operating,THA,3.0,2003-01-01,2011-01-01,2014-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,23.0,2922.0,1249.0,1000000.0,0,3,1
|Credit Cards|Mobile|, Mobile ,7000000.0,operating,RUS,2.0,2012-04-12,2012-09-01,2014-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,142.0,576.0,3500000.0,0,3,1
|Software|, Software ,6785876.0,operating,CAN,1.0,2008-01-01,2010-08-25,2010-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.0,967.0,0.0,6785876.0,1,0,1
|E-Commerce|, E-Commerce ,60000000.0,operating,USA,1.0,,2014-07-16,2014-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,60000000.0,1,2,1
|Web Development|Internet|Software|, Software ,,operating,missing,1.0,2008-10-01,2008-01-01,2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,18.0,0.0,0.0,,1,0,0
|Software|, Software ,383000.0,operating,AUS,2.0,2010-07-01,2010-04-01,2012-10-10,0.0,0.0,0.0,0.0,0.0,383000.0,0.0,0,0,0,16.0,0.0,923.0,191500.0,0,0,0
|Hardware + Software|, Hardware + Software ,2941000.0,operating,USA,3.0,,2009-04-07,2011-01-18,0.0,0.0,0.0,441000.0,0.0,0.0,0.0,0,0,0,,,651.0,980333.3333333334,0,0,1
|Mobile|, Mobile ,165000000.0,operating,NZL,1.0,2009-01-01,2013-06-18,2013-06-18,0.0,0.0,0.0,165000000.0,0.0,0.0,0.0,0,0,0,17.0,1629.0,0.0,165000000.0,1,0,0
|Clean Technology|, Clean Technology ,474116.0,operating,GBR,4.0,,2014-10-24,2014-10-24,0.0,0.0,0.0,0.0,209183.0,264933.0,0.0,0,0,0,,,0.0,118529.0,1,0,0
|Finance|Software|, Software ,250000.0,operating,USA,1.0,2011-12-01,2013-11-10,2013-11-10,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0,0,0,15.0,710.0,0.0,250000.0,1,0,0
|E-Commerce|, E-Commerce ,,operating,CHN,2.0,,2006-06-01,2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,1522.0,,0,0,0
|Software|, Software ,275000.0,operating,USA,1.0,2008-01-01,2010-04-09,2010-04-09,0.0,0.0,0.0,0.0,275000.0,0.0,0.0,0,0,0,18.0,829.0,0.0,275000.0,1,0,0
missing,missing,33457.0,operating,FRA,1.0,2010-01-01,2010-07-01,2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,16.0,181.0,0.0,33457.0,1,1,0
|Curated Web|, Curated Web ,966728.0,operating,BEL,2.0,2011-05-01,2011-08-08,2012-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,99.0,459.0,483364.0,0,2,1
|Software|, Software ,85000000.0,acquired,USA,1.0,1998-02-15,2005-03-30,2005-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,28.0,2600.0,0.0,85000000.0,1,0,0
|Cloud Infrastructure|Corporate IT|Enterprise Software|, Corporate IT ,37644420.0,operating,USA,4.0,2010-01-01,2011-12-06,2014-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,704.0,1043.0,9411105.0,0,0,1
missing,missing,20000.0,operating,USA,1.0,2004-01-01,2013-03-31,2013-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,22.0,3377.0,0.0,20000.0,1,0,1
|Social + Mobile + Local|Mobile Social|Mobile|MMO Games|Internet|Entertainment|Social Network Media|Consumers|Women|Games|, Mobile Social ,58000.0,operating,USA,1.0,2011-12-26,2012-04-12,2012-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,108.0,0.0,58000.0,1,1,0
|Media|Advertising|, Advertising ,6000.0,operating,USA,1.0,2013-09-13,2014-09-13,2014-09-13,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,365.0,0.0,6000.0,1,0,0
|Messaging|Video Chat|Facebook Applications|File Sharing|Software|Chat|Curated Web|, Curated Web ,,operating,missing,1.0,2007-09-01,2007-08-15,2007-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,19.0,0.0,0.0,,1,0,0
|Messaging|, Messaging ,939000.0,operating,USA,1.0,,2007-11-01,2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,939000.0,1,0,1
|Hospitality|, Hospitality ,,operating,missing,1.0,2011-02-17,2013-07-10,2013-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,15.0,874.0,0.0,,1,0,0
|Art|Beauty|Lifestyle|Music|Social Network Media|Fashion|Social Media|, Art ,300000.0,operating,AUS,2.0,2004-05-01,2007-08-01,2008-06-01,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0,0,0,22.0,1187.0,305.0,150000.0,0,1,0
|Software|Education|, Software ,95875000.0,operating,USA,6.0,2008-01-01,2009-03-25,2013-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.0,449.0,1671.0,15979166.666666666,0,3,1
|Navigation|Tourism|E-Commerce|, Navigation ,80000.0,operating,CAN,1.0,2012-01-25,2011-06-01,2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,0.0,0.0,80000.0,1,0,1
|Software|, Software ,,acquired,missing,1.0,,2001-12-01,2001-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,,,0.0,,1,0,0
|Task Management|Project Management|Networking|SaaS|Collaboration|Software|, Software ,,closed,ISR,1.0,,2008-01-01,2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,,1,0,0
missing,missing,,acquired,USA,1.0,1984-01-01,1998-03-13,1998-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,42.0,5185.0,0.0,,1,0,0
missing,missing,,operating,USA,1.0,2012-12-04,2013-10-21,2013-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,14.0,321.0,0.0,,1,0,0
|Biotechnology|, Biotechnology ,78089000.0,operating,USA,4.0,2007-03-01,2009-07-10,2013-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,19.0,862.0,1442.0,19522250.0,0,3,1
|Apps|Mobile|Design|Photography|Finance|Creative|Software|, Photography ,25000.0,operating,USA,1.0,2013-04-01,2013-05-20,2013-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,49.0,0.0,25000.0,1,1,0
|Transportation|, Transportation ,,operating,USA,1.0,2013-09-16,2013-10-25,2013-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,39.0,0.0,,1,0,0
|Finance|, Finance ,500000.0,operating,USA,1.0,2013-01-23,2014-09-16,2014-09-16,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,601.0,0.0,500000.0,1,0,0
|Wine And Spirits|E-Commerce|, Wine And Spirits ,2274716.0,operating,GBR,1.0,2012-07-01,2014-03-01,2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,608.0,0.0,2274716.0,1,3,1
|Video|Photography|Entertainment|News|, News ,,operating,USA,1.0,2010-09-01,2010-08-13,2010-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,0.0,0.0,,1,0,0
|Social Network Media|Advertising|, Advertising ,25654560.0,operating,USA,5.0,2007-09-01,2009-02-06,2012-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,19.0,524.0,1259.0,5130912.0,0,3,1
|Maps|Virtual Worlds|Photography|Curated Web|, Maps ,,operating,CZE,1.0,2007-01-01,2007-12-01,2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,19.0,334.0,0.0,,1,0,0
|Consumer Electronics|, Consumer Electronics ,17800000.0,operating,USA,1.0,1998-01-01,2014-08-11,2014-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,28.0,6066.0,0.0,17800000.0,1,3,1
|Pharmaceuticals|Life Sciences|Biotechnology|Media|News|, Life Sciences ,5000000.0,operating,CHN,1.0,2000-01-01,2009-06-01,2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,26.0,3439.0,0.0,5000000.0,1,0,1
|Dental|Biotechnology|, Biotechnology ,1000000.0,operating,USA,2.0,2005-01-01,2011-11-01,2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,21.0,2495.0,427.0,500000.0,0,2,1
|Software|, Software ,7650000.0,operating,CAN,1.0,2008-01-01,2013-01-15,2013-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.0,1841.0,0.0,7650000.0,1,0,1
|Corporate Training|Education|, Corporate Training ,1543920.0,operating,FRA,1.0,2010-01-01,2013-09-30,2013-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,1368.0,0.0,1543920.0,1,1,0
|Semantic Web|Artificial Intelligence|Shopping|Personalization|Sales and Marketing|Web Development|Software|, Artificial Intelligence ,4100000.0,operating,CAN,2.0,2007-07-01,2012-04-20,2013-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,19.0,1755.0,485.0,2050000.0,0,0,1
|Enterprise Software|, Enterprise Software ,1623640.0,operating,CHN,1.0,,2013-03-01,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,1623640.0,1,2,1
|Finance|, Finance ,,operating,DEU,1.0,2000-01-01,2012-02-16,2012-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,26.0,4429.0,0.0,,1,0,0
|Data Centers|Internet|Services|Information Technology|, Services ,16000000.0,operating,USA,1.0,2012-01-01,2014-09-10,2014-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,983.0,0.0,16000000.0,1,3,1
|Entertainment|, Entertainment ,,operating,AUS,1.0,2013-01-01,2014-03-31,2014-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,454.0,0.0,,1,0,0
|Finance|, Finance ,,operating,missing,1.0,,2014-04-01,2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,,,0.0,,1,0,0
|SaaS|Point of Sale|Software|, Software ,,operating,USA,1.0,2009-08-01,2014-02-11,2014-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,1655.0,0.0,,1,0,0
|Artificial Intelligence|Technology|Fashion|, Fashion ,73047.0,operating,ESP,2.0,2011-12-12,2011-12-01,2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,0.0,213.0,36523.5,0,1,0
|Mobile|, Mobile ,2203975.0,operating,missing,1.0,2006-01-01,2007-05-01,2007-05-01,0.0,2203975.0,0.0,0.0,0.0,0.0,0.0,0,0,1,20.0,485.0,0.0,2203975.0,1,0,0
|iPhone|Android|Apps|Sports|Mobile|, Sports ,6700000.0,operating,ISR,2.0,2008-01-01,2013-01-28,2014-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.0,1854.0,609.0,3350000.0,0,3,1
|Enterprises|Enterprise Software|, Enterprise Software ,,operating,CHN,1.0,,2004-03-01,2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,,1,0,0
|Social Media|, Social Media ,1573976.0,operating,CHN,2.0,1999-01-01,2011-04-01,2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,27.0,4473.0,457.0,786988.0,0,2,1
|Bitcoin|, Bitcoin ,25000.0,operating,USA,1.0,2014-01-01,2014-03-15,2014-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,12.0,73.0,0.0,25000.0,1,1,0
|Mobile|, Mobile ,1629549.0,operating,CHN,1.0,2013-01-01,2014-03-01,2014-03-01,0.0,0.0,0.0,0.0,1629549.0,0.0,0.0,0,0,0,13.0,424.0,0.0,1629549.0,1,0,0
|Mobile|, Mobile ,1600000.0,operating,USA,1.0,2010-01-01,2012-01-13,2012-01-13,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0,0,0,16.0,742.0,0.0,1600000.0,1,0,0
|Health and Wellness|, Health and Wellness ,3750000.0,operating,missing,2.0,,2006-03-01,2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,,,365.0,1875000.0,0,0,1
|Online Travel|Networking|Travel|, Online Travel ,1719583.0,operating,CHE,2.0,2011-08-01,2011-08-01,2014-07-10,0.0,0.0,0.0,0.0,1344583.0,0.0,0.0,0,0,0,15.0,0.0,1074.0,859791.5,0,1,0
|Communications Hardware|Internet|Web Development|VoIP|Contact Centers|Cloud Computing|Customer Service|Software|, Web Development ,75000.0,operating,BRA,1.0,2013-01-10,2013-01-10,2013-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,0.0,0.0,75000.0,1,1,0
|Biotechnology|, Biotechnology ,133620.0,operating,ITA,1.0,2008-01-01,2011-01-01,2011-01-01,0.0,0.0,0.0,0.0,0.0,133620.0,0.0,0,0,0,18.0,1096.0,0.0,133620.0,1,0,0
|Health Care|iPad|Consumer Electronics|Electronic Health Records|Software|, Electronic Health Records ,500000.0,closed,USA,2.0,2010-06-23,2010-06-23,2011-06-01,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0,0,0,16.0,0.0,343.0,250000.0,0,1,0
|Customer Service|Software|, Customer Service ,5740000.0,operating,USA,2.0,2005-01-01,2013-01-14,2014-03-04,0.0,0.0,1540000.0,0.0,0.0,0.0,0.0,0,0,0,21.0,2935.0,414.0,2870000.0,0,3,1
|Biotechnology|, Biotechnology ,1465000.0,operating,USA,1.0,2010-01-01,2013-02-05,2013-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,1131.0,0.0,1465000.0,1,1,0
|Enterprise Software|, Enterprise Software ,28000.0,operating,USA,1.0,2013-03-01,2013-11-10,2013-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,254.0,0.0,28000.0,1,1,0
missing,missing,250000.0,operating,USA,1.0,2013-01-01,2014-06-02,2014-06-02,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,1,1,0,13.0,517.0,0.0,250000.0,1,0,0
missing,missing,380000.0,operating,USA,2.0,,2008-08-11,2010-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,,,603.0,190000.0,0,0,1
missing,missing,,operating,missing,1.0,,2013-09-16,2013-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,0.0,,1,0,0
|Games|, Games ,503000.0,closed,USA,2.0,2011-01-01,2011-06-22,2013-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,172.0,638.0,251500.0,0,0,1
|3D Printing|Local|Marketplaces|Collaborative Consumption|, 3D Printing ,4500000.0,operating,NLD,2.0,2013-04-01,2013-08-27,2014-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,148.0,371.0,2250000.0,0,2,1
|Search|Visualization|Supply Chain Management|Manufacturing|3D|Curated Web|, 3D ,1200000.0,operating,USA,2.0,2011-01-01,2012-03-01,2013-03-01,0.0,0.0,0.0,0.0,850000.0,0.0,0.0,0,0,0,15.0,425.0,365.0,600000.0,0,1,0
